Nombre_Empresa,Id_Empleo,Ciudad,Categoria,Sueldo,Publicado,Vencimiento,Descripcion,Nombre_cargo,Enlace
Importante Empresa,716787,"La Paz, Bolivia",Administración y Oficina ,No Declarado ,04 Febrero 2019,06 Marzo 2019,somos una empresa de servicios de innovacion que pone al alcance de los bolivianos lo mas avanzado de la tecnologia para servir al paisqueremos reforzar nuestro equipo en la ciudad de la paz y por eso vamos a contratar a un responsable de compras y servicios generales la persona contratada sera responsable de ejecutar tareas de soporte operativo a los procesos de servicios generales compras contratos garantias documentacion regulatoria y servicios financieros de nuestra sede en la paz buscamos alguien que pueda demostrar  formacion completa en administracion de empresas ingenieria industrial comercial comercio exterior o bien en ciencias economicas yo financieras experiencia minima de 2 anos en posiciones administrativas con responsabilidades similares se considerara adicionalmente el conocimiento basico de normas contables y tributarias valoraremos significativamente la posesion de las siguientes competencias adicionales proactividad aprendizaje constante trabajo bajo presion enfoque a resultados recepcion a cambios empatia orientacion a resultados ofrecemosuna oportunidad para el desarrollo personal y profesional de nuestros colaboradores en un entorno dinamico desafiante y en constante desarrollo permitiendo espacios de generacion de nuevos emprendimientos innovacion constante y la mas alta tecnologia al servicio de las personas las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Responsable de Compras y Servicios Generales - La Paz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/716787/Responsable-de-Compras-y-Servicios-Generales---La-Paz.html?searchId=1546400657&page=1
IMCRUZ,716778,"Santa Cruz de la Sierra, Bolivia","Marketing y Ventas,Técnico ",No Declarado ,04 Febrero 2019,06 Marzo 2019,supervisor de tiendaregional santa cruz requisitos formacion en ingenieria comercial marketing administracion de empresas o ramas afines experiencia en evaluacion y gestion de proyectos de estudio de mercado experiencia profesional de por lo menos 3 anos en elaboracion ejecucion y seguimiento de estrategias de posicionamiento y crecimiento de ventas de los cuales al menos dos anos deben haber sido en empresas ligadas al rubro comercial habilidades de negociacion manejo de equipos de trabajo manejo avanzado de microsoft office ingles intermedio  avanzado competencias relevantes crear valor autoliderazgo responsabilidad personal resolucion de problemas comunicacion asertiva se ofrecesueldo fijo mas comisiones  las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Supervisor(a) de Tienda - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/716778/Supervisor(a)-de-Tienda---Santa-Cruz.html?searchId=1546400657&page=1
BAP S.R.L.,715864,"La Paz, Bolivia",Informática ,De Bs. 8.000 a Bs. 8.999 ,04 Febrero 2019,06 Marzo 2019,bap srl empresa de desarrollo de software desea incorporar a undesarrollador webrequisitos ingeniero de sistemas licenciado en informatica o ramas similares experiencia minima de 3 anos conocimientos solidos y demostrables en java spring boot spring mvc manejo de servicios web soap  rest angular minimo version 5 firma digital  token  certificados digitalescompetencias personales predisposicion para trabajar en equipo trabajo bajo presion proactividadlos profesionales interesados que cumplan con los requisitos favor remitir su hoja de vida indicando su pretension salarial por trabajopolisbo,Desarrollador(a) Web,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715864/Desarrollador(a)-Web.html?searchId=1546400657&page=1
Importante Empresa,716728,"Santa Cruz de la Sierra, Bolivia","Administración y Oficina,Contabilidad y Economía ",De Bs. 3.000 a Bs. 3.999 ,04 Febrero 2019,06 Marzo 2019,empresa lider en la comercializacion e instalacion de sistemas de construccion en seco esta buscando incorporar de forma inmediata a su equipo de trabajo en la ciudad de santa cruz a un profesional para el puesto prs 00319asistente de contabilidadmision del puesto registro de las operaciones contables concernientes a los procesos de ingresos y egresos de la compania a fin de contar con la informacion veraz adecuada y oportunaformacion egresados o tecnicos de las carreras de contaduria publica yo ramas afinesotros conocimientos manejo de sistema contable preferentemente sap manejo de excel nivel intermedioavanzado conocimiento de impuestos declaraciones juradas    experiencia minima requerida 2 anos en cargos similares experiencia de manejos de sistemas capacidad persona proactiva tenga capacidad de negociacion trabajo en equipo  orientacion a resultados al cliente y mucha orientacion al detalle trabajo bajo presion constante postulacion si deseas formar parte de nuestro gran equipo de trabajo y posibilidades de capacitacion constante envia tu postulacion a traves de este medio incluyendo una carta de presentacion personal con tus pretensiones salariales y tu curriculum vitae detallado que incluya datos de contacto de 3 personas inmediatos superiores que brinden referencias laborales de tus anteriores trabajos,Asistente de Contabilidad,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/716728/Asistente-de-Contabilidad.html?searchId=1546400657&page=1
AEROMARKET LTDA,716704,"La Paz, Bolivia",Administración y Oficina ,No Declarado ,04 Febrero 2019,06 Marzo 2019,aeromarket ltda requiere contadorsede la paz requisitos contador profesional disponibilidad inmediata profesional con conocimiento en manejo de sistemas contables elaboracion de presupuestos manejo y presentacion de obligaciones legales  servicio de impuestos afps ministerio de trabajo caja petrolera elaboracion de planillas de personal balances libro de ventas y compras las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Contador(a) - La Paz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/716704/Contador(a)---La-Paz.html?searchId=1546400657&page=1
Multicenter,716680,"Santa Cruz de la Sierra, Bolivia",Contabilidad y Economía ,No Declarado ,04 Febrero 2019,06 Marzo 2019,nuestra empresa busca un talento asistente contable temporal reemplazo por baja de maternidad mision del puestorecopilar toda la documentacion necesaria para poder programar los pagos segun las diferentes modalidades de pago de la empresa y asi atender las diferentes obligaciones economicas en tiempo y forma para evitar retrasos con proveedores multas sanciones y otros perjuiciosrequisitos  formacion en carreras contables conocimiento en control de ingresos conciliaciones bancarias apropiacion de cuentas contablescompetencias proactividad compromiso trabajo en equipolas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial mediante el anuncio de trabajopolisbo,Asistente Contable (Reemplazo por Baja de Maternidad),https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/716680/Asistente-Contable-(Reemplazo-por-Baja-de-Maternidad).html?searchId=1546400657&page=1
Importante Empresa,716734,"Santa Cruz de la Sierra, Bolivia","Administración y Oficina,Banca y Finanzas ",No Declarado ,04 Febrero 2019,06 Marzo 2019,importante empresa comercial lider en su rubro requiere contratar una persona para ocupar el cargo de controller administrativo y financiero requisitos licenciatura en administracion de empresas contaduria publica y ramas afines maestria en administracion de empresa y recursos humanos experiencia minima de 3 anos en el cargo experiencia en la supervision de las areas administrativa contable rrhh almacenes adquisiciones y cobranzas principales funciones revision supervision y analisis de las operaciones financieras y registro contable a fin de garantizar el cumplimiento de la normativa interna y tributaria revision y analisis de los estados financieros consolidados y del informe financiero mensual disenar y ejecutar sistemas de control de gestion y administracion de la empresa control y seguimiento del presupuesto anual y el plan estrategico de la empresa coordinar con las diferentes areas funcionales las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Controller Administrativo(a) y Financiero(a),https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/716734/Controller-Administrativo(a)-y-Financiero(a).html?searchId=1546400657&page=1
Constructora Lopez & Zambrana Ltda.,716328,"Santa Cruz de la Sierra, Bolivia","Administración y Oficina,Recursos Humanos ",Dependiendo de la Experiencia ,04 Febrero 2019,06 Marzo 2019,importante empresa constructora con mas de 40 anos de experiencia desea incorporar a su equipo de trabajoencargado de recursos humanosobjetivo del cargogestionar la correcta administracion de recursos humanos garantizando la satisfaccion de todos los colaboradores y su desempenorequisitos formacion en administracion de empresas ing comercial ing industrial derecho o ramas a fines post grado en administracion de rrhh  experiencia demostrable de al menos 5 anos en puestos similares conocimiento de gestion por competencias conocimiento de procesos de reclutamiento y seleccion tramites de gestion externa en cns afps y mtps conocimiento de ley general del trabajo y recursos legales disponibilidad para viajes alta capacidad de negociacioncompetencias personales trabajo en equipo trabajo bajo presion proactividadlas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Encargado(a) de Recursos Humanos,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/716328/Encargado(a)-de-Recursos-Humanos.html?searchId=1546400657&page=1
Banco Prodem S.A.,715341,"Santa Cruz de la Sierra, Bolivia","Banca y Finanzas,Marketing y Ventas ",No Declarado ,04 Febrero 2019,06 Marzo 2019,asesor de creditosbase mairanarequisitos licenciado egresado tecnico superior o bachiller experiencia en ventas experiencia en entidades financieras  conocimiento de normas asfi conocimiento de procedimientos para el otorgamiento de creditos conocimiento en analisis financiero conocimiento en productos y servicios financieros conocimiento del entorno office conocimiento de idioma originario  predisposicion para trabajar fuera de una oficina mercadear y captar clientes capacidad de redaccion y buena ortografia licencia de conducir te ofrecemos estabilidad laboral prestaciones de ley salario acorde a responsabilidades esquema de beneficios la oportunidad de ser parte de una institucion pionera en el rubro de las microfinanzas que promueve el talento y desarrollo de su gente las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Asesor(a) de Créditos - Mairana,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715341/Asesor(a)-de-Créditos---Mairana.html?searchId=1546400657&page=1
Banco Prodem S.A.,715337,"Santa Cruz de la Sierra, Bolivia","Banca y Finanzas,Marketing y Ventas ",No Declarado ,04 Febrero 2019,06 Marzo 2019,asesor de creditosbase monterorequisitos licenciado egresado o tecnico superior experiencia en ventas experiencia en entidades financieras  conocimiento de normas asfi conocimiento de procedimientos para la otorgacion de creditos conocimiento en analisis financiero conocimiento en productos y servicios financieros conocimiento del entorno office conocimiento de idioma originario  predisposicion para trabajar fuera de una oficina mercadear y captar clientes capacidad de redaccion y buena ortografia licencia de conducir te ofrecemos estabilidad laboral prestaciones de ley salario acorde a responsabilidades esquema de beneficios la oportunidad de ser parte de una institucion pionera en el rubro de las microfinanzas que promueve el talento y desarrollo de su gente las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Asesor(a) de Créditos - Montero,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715337/Asesor(a)-de-Créditos---Montero.html?searchId=1546400657&page=1
Grupo Ribepar S.R.L.,716648,"Cochabamba, Bolivia",Marketing y Ventas ,No Declarado ,04 Febrero 2019,06 Marzo 2019,si eres un profesional proactivo te entusiasmas por los desafios tienes ambicion de exito ganas de crecer personal y profesionalmente buscas mas que experiencia laboral sino sonar aprender mas y ser mejor postulate a nuestro requerimiento para el cargo de asesor comercialsede cochabamba requisitos formacion minima en ingenieria comercial marketing y ventas o ramas afines minimo 2 anos de experiencia en cargos similares preferentemente en empresas de consumo masivo conocimientos de excel intermedio contar con garantia de un bien inmueble  poseer medio de transporte propio disponibilidad inmediatacompetencias requeridas proactividad orientacion a clientes orientacion a resultados trabajo en equipose ofrecesueldo fijo mas comisioneslas personas interesadas favor enviar su curriculum vitae incluyendo carta de presentacion y pretension salarial por tabajopolisbo,Asesor(a) Comercia l- Cochabamba,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/716648/Asesor(a)-Comercia-l--Cochabamba.html?searchId=1546400657&page=1
Banco Mercantil Santa Cruz S.A.,716646,"Santa Cruz de la Sierra, Bolivia",Banca y Finanzas ,De Bs. 6.000 a Bs. 6.999 ,04 Febrero 2019,06 Marzo 2019,si eres agil y efectivo en los negocios capaz de convencer a las mejores corporaciones del medio con alta vocacion en atencion al cliente te invitamos a postularte para el cargo ejecutivo de cuenta empresascorp ref 0719 funcionesgestionaras la cartera asignada tendras el desafio de mantener y lograr mayor vinculacion de los clientes actuales a traves de la venta cruzada de todos nuestros productos y serviciosrequisitos licenciado o egresado de carreras financieras economicas y comerciales habilidad en analisis financiero experiencia minima de 1 ano en cargos similares  se valoraran conocimientos en normativas asfi buenas habilidades en el manejo de los tiempos habilidad de autogestion manejo y resolucion de conflictos beneficios que ofrecemosa traves de diversos programas de beneficios te ofrecemos la oportunidad de convertirte en un lider altamente preparado programas de certificacion que impulsan tu desarrollo profesional apoyo en maestrias y cursos de especializacion tutorias y capacitaciones continuaslas personas interesadas y que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Ejecutivo(a) de Cuenta Empresas/Corp.,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/716646/Ejecutivo(a)-de-Cuenta-Empresas-Corp..html?searchId=1546400657&page=1
Banco Mercantil Santa Cruz S.A.,716635,"Santa Cruz de la Sierra, Bolivia","Atención al Cliente,Banca y Finanzas ",De Bs. 2.060 a Bs. 2.999 ,04 Febrero 2019,06 Marzo 2019,si estas orientado a la atencion del cliente te comunicas de manera clara y efectiva cuentas con actitud de servicio y eres orientado a la realizacion de transacciones de efectivo y valores con eficiencia y agilidad te invitamos a postularte para el cargo cajero ref 0619 requisitos formacion en ramas economicas financieras  habilidad numerica y en recuento de efectivo experiencia en atencion al cliente  experiencia especifica en cargos similares  buenas habilidades en el manejo de los tiemposbeneficios que ofrecemosa traves de diversos programas de beneficios te ofrecemos oportunidades de desarrollo orientadas a tu crecimiento dentro del banco capacitaciones programas de certificacion y planes de carrera que impulsan tu ascenso beneficios adicionales para las personas interesadas en gestionar su formacion academicano es un trabajo es una carreralas personas interesadas y que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Cajero(a),https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/716635/Cajero(a).html?searchId=1546400657&page=1
Living Room Muebles,699068,"Cochabamba, Bolivia",Recursos Humanos ,De Bs. 3.000 a Bs. 3.999 ,04 Febrero 2019,06 Marzo 2019,se requierejefe de recursos humanosrequisitos lic en administracion de empresas ing comercial o ramas afines disponibilidad de viajes interdepartamentales facilidad de palabra experiencia minima de 1 ano en el area se valoraran positivamente especializacion yo maestrias en temas especificos de recursos humanos se valorara positivamente el manejo de sistema delta buen manejo en microsoft excel word etc experiencia en gestion de planillas actitud colaborativa conocimientos generales en contabilidad  liderazgoofrecemos oportunidad de iniciar y desarrollar una carrera exitosa buen ambiente laboral capacitacion permanentelas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Jefe de Recursos Humanos,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/699068/Jefe-de-Recursos-Humanos.html?searchId=1546400657&page=1
EFECTO reclutamiento y selección de personal,715664,"Santa Cruz de la Sierra, Bolivia","Administración y Oficina,Marketing y Ventas ",De Bs. 3.000 a Bs. 3.999 ,04 Febrero 2019,06 Marzo 2019,nuestro cliente importante compania del rubro cervecero desea incorporar a su equipo de trabajo un profesional para ocupar el siguiente cargocoordinador de ventas on premiseperfil profesional lic en marketing ing comercial o ramas afines manejo de excel nivel intermedio se valorara la experiencia laboral en el rubro de bebidasprincipales funciones realizar el contacto en restaurantes tipo a para posterior negociacion y apretura del mercado e introduccion del producto realizar la negociacion y cierre de contratos con el cliente objetivo coordinar degustaciones y pruebas del producto con el cliente objetivo realizar el seguimiento y control de clientes para cierre de contratos yo renovacion de los mismos manejar y controlar el personal de impulsacion o degustacion para eventos relacionados con clientes vigentes o potenciales mantener informado al cliente vigente y potencial respecto al producto promociones variaciones y otros elaborar y presentar propuesta que incluya una planificacion estrategica que impulse las actividades comerciales referente al area que permitiran el crecimiento y el alcance de los objetivos de la compania visitar semanalmente a los clientes de su cartera para la toma de pedidos y realizar el seguimiento a la entrega de los mismosbeneficios todos los beneficios de ley estabilidad laboral incentivo economico de acuerdo al cumplimiento de objetivosrango salarial bs 2060  3999las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Coordinador(a) de Ventas On Premise,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/715664/Coordinador(a)-de-Ventas-On-Premise.html?searchId=1546400657&page=1
Banco Económico S.A.,704155,"Santa Cruz de la Sierra, Bolivia",Banca y Finanzas ,No Declarado ,04 Febrero 2019,06 Marzo 2019,analista de planificacionsede santa cruzfuncion principal ejecutar las actividades relativas a planificacion control de gestion presupuesto y sistemas de informacion gerencial del bancorequisitos de formacion y experiencia  titulado en ingenieria financiera economia ingenieria comercial o administracion de empresas minimo 2 anos de experiencia en cargos similares se valorara en instituciones financieras experiencia en elaboracion de presupuesto proceso de planificacion sistemas de control de gestion analisis de estados financieros y sistemas de informacion gerencial conocimiento y experiencia en la elaboracion de presupuestos base cero  manejo avanzado de ms excel y bases de datos conocimiento y manejo de herramientas de business intelligence como pe ibm cognos business objects qlikview  conocimiento del idioma ingles competencias requeridas orientacion al cliente interno comunicacion efectiva proactividad trabajo en equipo capacidad de interpretacion numerica capacidad analiticate ofrecemos estabilidad laboral y la oportunidad de incorporarte a un equipo de trabajo dinamico con oportunidades de crecimiento profesional buenas condiciones laborales remuneracion competitiva en el mercado y acorde al puestolas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Analista de Planificación - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/704155/Analista-de-Planificación---Santa-Cruz.html?searchId=1546400657&page=1
Importante Empresa Industrial,702875,"Potosí, Bolivia","Administración y Oficina,Marketing y Ventas ",No Declarado ,04 Febrero 2019,06 Marzo 2019,forma parte de una gran empresa en su rubro jefe de sucursalsede potosi objetivo del cargocontribuir al logro de los objetivos organizacionales garantizando una gestion adecuada de la sucursal en ventas y atencion al cliente responsabilidad del cargoliderar y motivar al equipo de ventas orientando sus acciones al logro de los objetivos de la empresa requisitos formacion en administracion de empresas ingenieria comercial marketing yo ramas afines  experiencia minima de 3 anos en cargos de jefaturas de tienda agencias o sucursales experiencia en manejo de objetivos y estrategias de ventas manejo de personal comercial manejo de ms office las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Jefe de Sucursal - Potosí,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/702875/Jefe-de-Sucursal---Potosí.html?searchId=1546400657&page=1
